date,forecast,lower_bound,upper_bound
2026-01-01,66999.33485833895,0.0,169792.022482504
2026-01-02,79135.5911377738,0.0,181928.27876193885
2026-01-03,90847.61298497421,0.0,193640.30060913926
2026-01-04,69110.91908125888,0.0,171903.6067054239
2026-01-05,63890.002048291855,0.0,166682.6896724569
2026-01-06,64160.027244524186,0.0,166952.71486868925
2026-01-07,90624.47693055245,0.0,193417.16455471748
2026-01-08,80908.51342976751,0.0,183701.20105393254
2026-01-09,93044.76970920236,0.0,195837.4573333674
2026-01-10,104756.79155640278,1964.1039322377328,207549.47918056784
2026-01-11,83020.09765268744,0.0,185812.7852768525
2026-01-12,77799.18061972041,0.0,180591.86824388546
2026-01-13,78069.20581595275,0.0,180861.8934401178
2026-01-14,104533.65550198102,1740.9678778159723,207326.34312614606
2026-01-15,94817.69200119609,0.0,197610.37962536112
2026-01-16,106953.94828063094,4161.260656465893,209746.63590479598
2026-01-17,118665.97012783134,15873.282503666298,221458.6577519964
2026-01-18,96929.27622411601,0.0,199721.96384828107
2026-01-19,91708.35919114898,0.0,194501.04681531404
2026-01-20,91978.38438738132,0.0,194771.07201154635
2026-01-21,118442.83407340958,15650.146449244538,221235.52169757464
2026-01-22,108726.87057262466,5934.182948459609,211519.5581967897
2026-01-23,120863.1268520595,18070.439227894458,223655.81447622454
2026-01-24,132575.1486992599,29782.461075094863,235367.83632342494
2026-01-25,110838.45479554459,8045.767171379543,213631.14241970965
2026-01-26,105617.53776257756,2824.850138412512,208410.22538674262
2026-01-27,105887.5629588099,3094.87533464485,208680.25058297493
2026-01-28,132352.01264483816,29559.325020673117,235144.70026900322
2026-01-29,122636.04914405324,19843.36151988819,225428.73676821828
2026-01-30,134772.30542348808,31979.617799323038,237564.99304765312
